2024-09-08 10:09:48.110 +05:00 [INF] HTTP GET /assets/css/fonts/@fortawesome/fa-solid-900.ttf responded 404 in 1.7294 ms
2024-09-08 10:09:48.123 +05:00 [INF] HTTP GET /assets/js/plugins.bundle.js responded 200 in 105.6613 ms
2024-09-08 10:09:48.134 +05:00 [INF] HTTP GET /assets/fonts/fontawesome/fa-regular-400.woff2 responded 200 in 1.8945 ms
2024-09-08 10:09:48.140 +05:00 [INF] HTTP GET /assets/fonts/fontawesome/fa-solid-900.woff2 responded 200 in 7.1356 ms
2024-09-08 10:09:48.355 +05:00 [INF] HTTP GET /assets/js/chart.umd.js.map responded 404 in 1.3704 ms
2024-09-08 10:09:48.805 +05:00 [INF] HTTP GET /~/assets/media/favicons/favicon.png responded 404 in 3.3600 ms
2024-09-08 10:09:49.023 +05:00 [INF] HTTP GET /~/assets/media//favicons/favicon-192x192.png responded 404 in 4.1471 ms
2024-09-08 10:13:34.129 +05:00 [WRN] Failed to determine the https port for redirect.
2024-09-08 10:13:36.096 +05:00 [INF] HTTP GET /Company/Home/Index responded 200 in 1970.8376 ms
2024-09-08 10:13:36.200 +05:00 [INF] HTTP GET /assets/media/logos/logo-compact.svg responded 404 in 10.3145 ms
2024-09-08 10:13:36.240 +05:00 [INF] HTTP GET /js/global.js responded 200 in 43.3582 ms
2024-09-08 10:13:36.257 +05:00 [INF] HTTP GET /assets/js/lib/jquery.min.js responded 200 in 74.1022 ms
2024-09-08 10:13:36.261 +05:00 [INF] HTTP GET /assets/js/plugins/chart.js/chart.min.js responded 200 in 41.9675 ms
2024-09-08 10:13:36.262 +05:00 [INF] HTTP GET /assets/css/dashmix.min.css responded 200 in 79.1541 ms
2024-09-08 10:13:36.262 +05:00 [INF] HTTP GET /assets/js/dashmix.app.min.js responded 200 in 11.8706 ms
2024-09-08 10:13:36.276 +05:00 [INF] HTTP GET /assets/css/plugins.bundle.css responded 200 in 93.0368 ms
2024-09-08 10:13:36.291 +05:00 [INF] HTTP GET /assets/css/style.bundle.css responded 200 in 107.8678 ms
